Name,Club,Age,International Reputation,Nationality
L. Perrin,AS Saint-Étienne,32,2.0,France
Dante,OGC Nice,34,3.0,Brazil
A. Gignac,Tigres U.A.N.L.,32,3.0,France
M. Gómez,VfB Stuttgart,32,3.0,Germany
I. Akinfeev,PFC CSKA Moscow,32,3.0,Russia
I. Denisov,Lokomotiv Moscow,34,2.0,Russia
Juanfran,Atlético Madrid,33,3.0,Spain
Diego López,RCD Espanyol,36,3.0,Spain
Santi Cazorla,Villarreal CF,33,3.0,Spain
Jesús Navas,Sevilla FC,32,2.0,Spain
J. Mascherano,Hebei China Fortune FC,34,4.0,Argentina
